Characteristic,Total,PrincipalApplicants,DependentsSpouses,DependentsChildren,FiscalYear
Under 1 year,96,0,0,96,2014
1 to 4 years,"6,619",80,0,"6,539",2014
5 to 9 years,"7,361",130,0,"7,231",2014
10 to 14 years,"6,616",327,0,"6,289",2014
15 to 19 years,"6,794",896,86,"5,812",2014
20 to 24 years,"7,304","4,338",904,"2,062",2014
25 to 29 years,"7,878","5,783","2,034",61,2014
30 to 34 years,"6,730","4,745","1,968",17,2014
35 to 39 years,"4,960","3,355","1,599",6,2014
40 to 44 years,"4,263","2,853","1,404",6,2014
45 to 49 years,"3,094","2,061","1,033",0,2014
50 to 54 years,"2,518","1,707",811,0,2014
55 to 59 years,"1,801","1,208",593,0,2014
60 to 64 years,"1,391","1,006",385,0,2014
65 to 74 years,"1,857","1,410",447,0,2014
75 years and over,693,578,115,0,2014
Under 1 year                        ,239,4,0,235,2015
1 to 4 years                          ,7689,118,0,7571,2015
5 to 9 years                      ,8270,132,0,8138,2015
10 to 14 years                     ,7376,316,0,7060,2015
15 to 19 years                      ,6886,998,64,5824,2015
20 to 24 years                       ,6845,4063,950,1832,2015
25 to 29 years                    ,7409,5305,2056,48,2015
30 to 34 years                 ,6789,4634,2151,4,2015
35 to 39 years                    ,5192,3502,1679,11,2015
40 to 44 years                   ,3880,2619,NA,NA,2015
45 to 49 years                   ,2849,1960,NA,NA,2015
50 to 54 years                    ,2067,1442,NA,NA,2015
55 to 59 years                 ,1461,1025,436,0,2015
60 to 64 years                   ,1103,798,305,0,2015
65 to 74 years           ,1359,1058,301,0,2015
75 years and over                     ,506,426,80,0,2015
Under 1 year                        ,323,4,0,319,2016
1 to 4 years                          ,9678,129,0,9549,2016
5 to 9 years                      ,11900,139,0,11761,2016
10 to 14 years                     ,10364,388,0,9976,2016
15 to 19 years                      ,8632,1272,108,7252,2016
20 to 24 years                       ,8148,5067,1114,1967,2016
25 to 29 years                    ,7851,5400,2389,62,2016
30 to 34 years                 ,7700,5064,2631,5,2016
35 to 39 years                    ,5960,3922,2033,5,2016
40 to 44 years                   ,4355,2949,1406,0,2016
45 to 49 years                   ,3137,2165,NA,NA,2016
50 to 54 years                    ,2228,1590,NA,NA,2016
55 to 59 years                 ,1573,1081,492,0,2016
60 to 64 years                   ,1234,882,352,0,2016
65 to 74 years           ,1435,1104,331,0,2016
75 years and over                     ,471,407,64,0,2016
